t_s,frame_ms,cpu_ms,gpu_ms,dist_m,phase
0.457783,3.5120,0.5550,3.4220,3.69,move_early
0.461562,3.7790,0.5790,3.7420,3.72,move_early
0.465371,3.8090,0.5530,3.4440,3.75,move_early
0.468852,3.4810,0.5710,3.6680,3.78,move_early
0.472601,3.7490,0.5480,3.4490,3.81,move_early
0.476386,3.7850,0.5380,3.6360,3.84,move_early
0.479910,3.5240,0.7300,3.4420,3.87,move_early
0.483252,3.3420,0.5650,3.6200,3.90,move_early
0.486846,3.5940,0.5620,3.4560,3.93,move_early
0.490848,4.0020,0.5700,3.9090,3.96,move_early
0.494681,3.8330,0.5620,3.4600,3.99,move_early
0.498154,3.4730,0.5520,3.6670,4.02,move_early
0.501711,3.5570,0.5550,3.4440,4.04,move_early
0.505619,3.9080,0.5660,3.6480,4.07,move_early
0.508924,3.3050,0.6800,3.4620,4.10,move_early
0.512617,3.6930,0.5980,3.6020,4.13,move_early
0.516167,3.5500,0.5590,3.4600,4.16,move_early
0.519866,3.6990,0.5670,3.6180,4.19,move_early
0.523520,3.6540,0.5530,3.6240,4.22,move_early
0.527277,3.7570,0.5510,3.4480,4.25,move_early
0.531000,3.7230,0.5500,3.6660,4.28,move_early
0.534579,3.5790,0.5490,3.4460,4.31,move_early
0.538294,3.7150,0.6510,3.6720,4.34,move_early
0.541944,3.6500,0.5770,3.4390,4.37,move_early
0.545522,3.5780,0.5970,3.6020,4.40,move_early
0.549097,3.5750,0.5950,3.4740,4.42,move_early
0.552855,3.7580,0.6330,3.6200,4.45,move_early
0.556348,3.4930,0.5690,3.4550,4.48,move_early
0.560499,4.1510,0.5750,4.1090,4.51,move_early
0.564069,3.5700,0.5690,3.4730,4.54,move_early
0.567806,3.7370,0.7490,3.6850,4.57,move_early
0.571373,3.5670,0.5520,3.4580,4.60,move_early
0.575157,3.7840,0.5900,3.6490,4.63,move_early
0.578619,3.4620,0.5690,3.4430,4.66,move_early
0.582384,3.7650,0.5850,3.6080,4.69,move_early
0.586038,3.6540,0.5520,3.6320,4.72,move_early
0.589540,3.5020,0.5520,3.4090,4.75,move_early
0.593347,3.8070,0.5680,3.6120,4.78,move_early
0.597051,3.7040,0.5460,3.4450,4.81,move_early
0.600694,3.6430,0.5430,3.6280,4.84,move_early
0.604250,3.5560,0.6540,3.4310,4.87,move_early
0.607954,3.7040,0.5590,3.6410,4.89,move_early
0.611575,3.6210,0.6340,3.4400,4.92,move_early
0.615186,3.6110,0.5500,3.6090,4.95,move_early
0.618732,3.5460,0.5700,3.4400,4.98,move_early
0.622588,3.8560,0.6020,3.8110,5.01,move_early
0.626117,3.5290,0.5760,3.4640,5.04,move_early
0.629958,3.8410,0.5630,3.7580,5.07,move_early
0.633562,3.6040,0.5940,3.4400,5.10,move_early
0.637256,3.6940,0.7110,3.6490,5.13,move_early
0.640757,3.5010,0.5460,3.4300,5.16,move_early
0.644499,3.7420,0.5590,3.6710,5.19,move_early
0.648072,3.5730,0.5440,3.4670,5.22,move_early
0.651742,3.6700,0.6050,3.6290,5.25,move_early
0.655318,3.5760,0.5480,3.4820,5.27,move_early
0.659244,3.9260,0.5840,3.8160,5.30,move_early
0.663010,3.7660,0.5650,3.6920,5.33,move_early
0.666524,3.5140,0.9030,3.4720,5.36,move_early
0.676670,10.1460,0.5670,3.6730,5.39,move_early
0.680759,4.0890,0.5670,3.4830,5.42,move_early
0.683764,3.0050,0.5850,3.6630,5.45,move_early
0.687299,3.5350,0.7710,3.4710,5.48,move_early
0.691450,4.1510,0.5500,4.0740,5.51,move_early
0.695029,3.5790,0.5860,3.4840,5.54,move_early
0.698813,3.7840,0.5810,3.7000,5.57,move_early
0.702265,3.4520,0.5690,3.4250,5.60,move_early
0.705920,3.6550,0.6120,3.5980,5.63,move_early
0.709434,3.5140,0.5560,3.4140,5.66,move_early
0.713120,3.6860,0.5730,3.5670,5.69,move_early
0.716585,3.4650,0.5890,3.4130,5.72,move_early
0.720249,3.6640,0.5590,3.5530,5.75,move_early
0.724043,3.7940,0.8880,3.6510,5.78,move_early
0.727808,3.7650,0.6030,3.7680,5.81,move_early
0.731332,3.5240,0.5890,3.4590,5.84,move_early
0.735382,4.0500,0.5770,3.6720,5.87,move_early
0.738846,3.4640,0.5770,3.6960,5.90,move_early
0.742297,3.4510,0.5890,3.4260,5.93,move_early
0.746040,3.7430,0.5600,3.6460,5.96,move_early
0.749615,3.5750,0.5890,3.4390,5.99,move_early
0.753308,3.6930,0.5640,3.5940,6.02,move_early
0.756832,3.5240,0.5620,3.4400,6.05,move_early
0.760609,3.7770,0.5950,3.7630,6.08,move_early
0.764194,3.5850,0.5670,3.4530,6.11,move_early
0.767909,3.7150,0.5730,3.6630,6.14,move_early
0.772289,4.3800,0.5610,3.4270,6.17,move_early
0.781609,9.3200,0.5810,3.6720,6.19,move_early
0.785513,3.9040,0.6990,3.6200,6.23,move_early
0.789452,3.9390,0.5990,3.6300,6.26,move_early
0.793442,3.9900,0.7200,4.0480,6.29,move_early
0.797026,3.5840,0.5730,3.8410,6.33,move_early
0.800540,3.5140,0.5740,3.4510,6.36,move_early
0.804174,3.6340,0.5720,3.6050,6.39,move_early
0.813049,8.8750,0.6090,3.3940,6.42,move_early
0.816334,3.2850,0.7400,3.5790,6.46,move_early
0.819858,3.5240,0.5670,3.3890,6.49,move_early
0.823464,3.6060,0.7580,3.5260,6.52,move_early
0.827020,3.5560,0.6840,3.3750,6.56,move_early
0.830714,3.6940,0.5630,3.5720,6.59,move_early
0.834131,3.4170,0.5790,3.3810,6.62,move_early
0.837764,3.6330,0.5680,3.5710,6.66,move_early
0.841264,3.5000,0.5740,3.4130,6.69,move_early
0.844910,3.6460,0.5610,3.6070,6.72,move_early
0.848433,3.5230,0.5550,3.4490,6.75,move_early
0.852076,3.6430,0.5670,3.6070,6.78,move_early
0.855665,3.5890,0.5700,3.4400,6.81,move_early
0.860846,5.1810,0.5650,3.9390,6.84,move_early
0.864101,3.2550,0.7740,3.4480,6.87,move_early
0.867734,3.6330,0.6110,3.6570,6.90,move_early
0.871786,4.0520,0.5610,3.6910,6.93,move_early
0.876202,4.4160,0.6810,3.4270,6.97,move_early
0.879491,3.2890,0.9560,3.6230,7.00,move_early
0.882935,3.4440,0.5760,3.4450,7.03,move_early
0.886660,3.7250,0.5610,3.5960,7.06,move_early
0.890446,3.7860,0.5880,3.6640,7.09,move_early
0.894152,3.7060,0.6100,3.7490,7.12,move_early
0.897642,3.4900,0.6050,3.4420,7.15,move_early
0.901417,3.7750,0.5950,3.6570,7.18,move_early
0.904960,3.5430,0.5660,3.4440,7.21,move_early
0.908675,3.7150,0.5650,3.6200,7.23,move_early
0.912213,3.5380,0.6100,3.4340,7.26,move_early
0.915790,3.5770,0.5770,3.6010,7.29,move_early
0.919289,3.4990,0.6140,3.4270,7.32,move_early
0.923136,3.8470,0.5550,3.7870,7.35,move_early
0.927065,3.9290,0.5730,3.6500,7.38,move_early
0.930835,3.7700,0.5460,3.4620,7.41,move_early
0.934530,3.6950,0.5450,3.6390,7.44,move_early
0.938103,3.5730,0.5490,3.4350,7.47,move_early
0.941817,3.7140,0.5610,3.6570,7.50,move_early
0.945299,3.4820,0.5750,3.4430,7.53,move_early
0.949035,3.7360,0.5510,3.5970,7.56,move_early
0.952536,3.5010,0.5450,3.4510,7.59,move_early
0.956201,3.6650,0.5960,3.6100,7.62,move_early
0.959859,3.6580,0.5620,3.4400,7.65,move_early
0.963621,3.7620,0.5570,3.7690,7.68,move_early
0.972682,9.0610,0.5810,3.4510,7.71,move_early
0.976577,3.8950,0.5500,3.6280,7.74,move_early
0.979950,3.3730,0.5730,3.4210,7.78,move_early
0.983531,3.5810,0.5510,3.5980,7.81,move_early
0.987147,3.6160,0.5600,3.4480,7.84,move_early
0.991388,4.2410,0.5650,3.8570,7.88,move_early
0.995336,3.9480,0.6850,3.4340,7.91,move_early
0.998763,3.4270,0.6310,3.6430,7.94,move_early
1.002158,3.3950,0.5640,3.4200,7.98,move_early
1.005821,3.6630,0.5560,3.6170,8.01,move_early
1.009385,3.5640,0.5510,3.4320,8.04,move_early
1.013232,3.8470,0.5520,3.6020,8.07,move_early
